date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:20	34775/34775	---MCZ	200	added ('OK')	text/html	etag:%2287d7-68c918cb-2e2598be214ade73;gz%22	https://travel.leadsteck.site/index.html	C:/My%20Web%20Sites/travelling/travel.leadsteck.site/index.html	(from )
16:01:20	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-3a4694a643151062;gz%22	https://travel.leadsteck.site/robots.txt		(from )
16:01:20	47114/47114	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Feb%202026%2010:31:20%20GMT	https://travel.leadsteck.site/assets/images/logo.png	C:/My%20Web%20Sites/travelling/travel.leadsteck.site/assets/images/logo.png	(from https://travel.leadsteck.site/index.html)
16:01:21	981/981	---M-Z	200	added ('OK')	text/css	etag:%223d5-68ad5ba3-b095faccbac9a070;gz%22	https://travel.leadsteck.site/assets/css/styles.css	C:/My%20Web%20Sites/travelling/travel.leadsteck.site/assets/css/styles.css	(from https://travel.leadsteck.site/index.html)
16:01:21	74185/74185	---M-Z	200	added ('OK')	text/css	etag:%22687fca57-4ef8%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/7.0.0/css/all.min.css	C:/My%20Web%20Sites/travelling/cdnjs.cloudflare.com/ajax/libs/font-awesome/7.0.0/css/all.min.css	(from https://travel.leadsteck.site/index.html)
16:01:21	72214/72214	---M-Z	200	added ('OK')	application/javascript	etag:%2265a9b559-6e61%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js	C:/My%20Web%20Sites/travelling/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/gsap.min.js	(from https://travel.leadsteck.site/index.html)
16:01:22	43380/43380	---M-Z	200	added ('OK')	application/javascript	etag:%2265a9b559-4536%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js	C:/My%20Web%20Sites/travelling/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.5/ScrollTrigger.min.js	(from https://travel.leadsteck.site/index.html)
16:01:22	45600/45600	---MCZ	200	added ('OK')	text/html	etag:%22b220-68c7c993-3d6363cae3a7186b;gz%22	https://travel.leadsteck.site/travel-package.html	C:/My%20Web%20Sites/travelling/travel.leadsteck.site/travel-package.html	(from https://travel.leadsteck.site/index.html)
16:01:23	23454/23454	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Feb%202026%2010:31:22%20GMT	https://travel.leadsteck.site/assets/images/domestic-packages.png	C:/My%20Web%20Sites/travelling/travel.leadsteck.site/assets/images/domestic-packages.png	(from https://travel.leadsteck.site/index.html)
16:01:24	18489710/18489710	---M--	200	added ('OK')	video/mp4	etag:%2211a216e-68a5b534-3e224bbb17e5ba45;;;%22	https://travel.leadsteck.site/assets/videos/hero-banner.mp4	C:/My%20Web%20Sites/travelling/travel.leadsteck.site/assets/videos/hero-banner.mp4	(from https://travel.leadsteck.site/index.html)
16:01:24	295059/295059	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Feb%202026%2010:31:24%20GMT	https://travel.leadsteck.site/assets/images/Delhi-Agra-Mathura-Tour-Itinerary.jpg	C:/My%20Web%20Sites/travelling/travel.leadsteck.site/assets/images/Delhi-Agra-Mathura-Tour-Itinerary.jpg	(from https://travel.leadsteck.site/index.html)
16:01:24	410866/410866	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Feb%202026%2010:31:23%20GMT	https://travel.leadsteck.site/assets/images/goa-fun-fiesta.jpg	C:/My%20Web%20Sites/travelling/travel.leadsteck.site/assets/images/goa-fun-fiesta.jpg	(from https://travel.leadsteck.site/index.html)
16:01:24	20709/20709	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Feb%202026%2010:31:24%20GMT	https://travel.leadsteck.site/assets/images/international-packages.png	C:/My%20Web%20Sites/travelling/travel.leadsteck.site/assets/images/international-packages.png	(from https://travel.leadsteck.site/index.html)
16:01:24	190991/190991	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Feb%202026%2010:31:24%20GMT	https://travel.leadsteck.site/assets/images/rangelo-rajasthang.jpg	C:/My%20Web%20Sites/travelling/travel.leadsteck.site/assets/images/rangelo-rajasthang.jpg	(from https://travel.leadsteck.site/index.html)
16:01:25	1573079/1573079	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Feb%202026%2010:31:25%20GMT	https://travel.leadsteck.site/assets/images/bali.png	C:/My%20Web%20Sites/travelling/travel.leadsteck.site/assets/images/bali.png	(from https://travel.leadsteck.site/index.html)
16:01:25	1459464/1459464	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Feb%202026%2010:31:25%20GMT	https://travel.leadsteck.site/assets/images/dubai.png	C:/My%20Web%20Sites/travelling/travel.leadsteck.site/assets/images/dubai.png	(from https://travel.leadsteck.site/index.html)
16:01:26	1204733/1204733	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Feb%202026%2010:31:26%20GMT	https://travel.leadsteck.site/assets/images/vietnam.png	C:/My%20Web%20Sites/travelling/travel.leadsteck.site/assets/images/vietnam.png	(from https://travel.leadsteck.site/index.html)
16:01:26	9742/9742	---MCZ	200	added ('OK')	text/html	etag:%22260e-68c7ccc2-5c93192bec370d51;gz%22	https://travel.leadsteck.site/contact.html	C:/My%20Web%20Sites/travelling/travel.leadsteck.site/contact.html	(from https://travel.leadsteck.site/index.html)
16:01:26	1436/1436	---M--	200	added ('OK')	image/png	date:Mon,%2023%20Feb%202026%2010:31:26%20GMT	https://travel.leadsteck.site/assets/images/currency.png	C:/My%20Web%20Sites/travelling/travel.leadsteck.site/assets/images/currency.png	(from https://travel.leadsteck.site/index.html)
16:01:26	4535678/4535678	---M--	200	added ('OK')	video/mp4	etag:%2245357e-68a5b523-e546993905b578b9;;;%22	https://travel.leadsteck.site/assets/videos/clients.mp4	C:/My%20Web%20Sites/travelling/travel.leadsteck.site/assets/videos/clients.mp4	(from https://travel.leadsteck.site/index.html)
